datetime,active_cases,discharged
2025-06-20 15:24:03.304483,5608,18256
2025-06-20 16:00:21.386810,5608,18256
2025-06-20 17:00:24.155853,5608,18256
2025-06-20 17:00:36.267798,5608,18256
2025-06-20 17:00:41.632515,5608,18256
